Species,Display Name,Museum Number,Study ID,Clade,Locality,Locality Notes,Lat,Long,Year collected,Sex (phenotype),Sex (genetic),Coverage,Depth,Fraglen,GC,Read dosage,5’ C>T,3’ G>A,Heterozygosity,Coverage (Mt),Depth (Mt),Fraglen (Mt),GC (Mt)
Turdus_poliocephalus_becki,"T. p. becki  (Epi, Vanuatu)",AMNH213130,Tpol00213130,K,"Epi, Vanuatu",,-16.754664,168.249763,1926,M,M,0.882423,12.3096,109,38.94,0.934250667388542,0.0438848,0.0429082,0.0330322,0.99498,243037,156,46.98
Turdus_poliocephalus_becki,"T. p. becki  (Emae, Vanuatu)",AMNH213136,Tpol00213136,K,"Emae, Vanuatu",,-17.066022,168.376739,1926,M,M,0.882623,12.2338,115,38.94,0.942303922118011,0.0391401,0.039152,0.0339546,0.99498,220522,152,47.49
Turdus_poliocephalus_becki,"T. p. becki  (Paama, Vanuatu)",AMNH213163,Tpol00213163,K,"Paama, Vanuatu",,-16.471679,168.236322,1926,F,F,0.854682,3.7452,120,38.94,0.479539325666324,0.043312,0.0435458,0.0289048,0.99498,188244,150,47.49
Turdus_poliocephalus_beehleri,"T. p. beehleri  (New Ireland, Bismarcks)",USNM584915,Tpol00584915,H,"New Ireland, Papua New Guinea",,-3.325198,151.945669,1976,unknown,F,0.896865,18.4315,149,39.45,0.430716538331795,0.0279277,0.0277785,0.0384202,0.995637,926216,149,48.49
Turdus_poliocephalus_bougainvillei,"T. p. bougainvillei  (Bougainville, Solomons)",AMNH226224,Tpol00226224,I,"Bougainville, Papua New Guinea",,-6.541748,155.64353,1927,M,M,0.881115,10.6947,112,38.44,0.936637890011453,0.0457525,0.0460214,0.0234205,0.99486,248938,156,46.98
Turdus_poliocephalus_canescens,"T. p. canescens (Goodenough I., se New Guinea)",QMO19743,Tpol00019743,,"Goodenough, Papua New Guinea",,-9.340955,150.234318,1894,,F,0.465533,0.737516,69,39.95,0.437982335410302,0.113209,0.111979,0.0236023,0.994621,26.2509,117,48.99
Turdus_poliocephalus_celebensis,T. p. celebensis AMNH 299444  (sw Sulawesi),AMNH299444,Tpol00299444,D,"sw Sulawesi, Indonesia",,-5.386435,119.896534,1931,M,M,0.877436,5.92935,116,39.95,0.91357621438118,0.0505865,0.050908,0.0229253,0.995578,304392,178,47.49
Turdus_poliocephalus_deningeri,"T. p. deningeri  (Seram, Moluccas)",ZMUC148358,Tpol00148358,F,"Seram, Indonesia",,-3.128087,129.359685,2012,,M,0.906815,10.1247,150,37.94,0.986898443977083,0.0105548,0.0104132,0.0152703,0.993665,988022,147,48.99
Turdus_poliocephalus_efatensis,"T. p. efatensis  (Nguna, Vanuatu)",AMNH213129,Tpol00213129,K,"Nguna, Vanuatu",,-17.450876,168.352829,1926,M,M,0.882185,12.5279,110,38.94,0.9345550169718,0.0482563,0.0482607,0.0371347,0.99498,250022,159,47.49
Turdus_poliocephalus_efatensis,"T. p. efatensis  (Efate, Vanuatu)",AMNH21349,Tpol00021349,K,"Efate, Vanuatu",,-17.671209,168.406826,2014,M,M,0.906038,9.64512,150,37.44,0.989006403634065,0.0107629,0.0106557,0.0357213,0.994143,989818,147,47.99
Turdus_poliocephalus_erythropleurus,T. p. erythropleurus  (Cocos (Keeling)  Is.),AMNH338105,Tpol00338105,D,Cocos Isl.,"Recent introduction to Cocos Isl. from Christmas I., Australia (for which coordinates given)",-10.49169,105.635928,1939,F,F,0.881533,11.1223,116,38.44,0.489104624758791,0.038986,0.0389216,0.0235753,0.993008,254056,164,46.98
